	nn	opentime	price	volume	numtrade	minper	maxper	RSI	MA2_1_perc	MA2_2_perc	MA1d30_perc	Lev24hMAX_perc	Lev24hMIN_perc	Lev7dMAX_perc	Lev7dMIN_perc
2974	2974.0	0.1875	0.0004687	80581.0	196.0	-0.54	1.76	0.7519	-0.3096	-0.7211	2.5184	1.7645	-3.7316	6.5906	-3.7316
2975	2975.0	0.1979	0.00047224	77104.0	161.0	-1.29	1.0	0.8558	-0.8703	-1.3142	1.7499	1.0016	-4.4532	5.7915	-4.4532
2976	2976.0	0.2083	0.00047584	32343.0	198.0	-2.03	0.24	0.9036	-1.3397	-1.8608	0.9801	0.2375	-5.1761	4.9912	-5.1761
2977	2977.0	0.2188	0.00047316	20045.0	93.0	-1.48	0.81	0.7015	-0.5886	-1.1586	1.222	0.8052	-4.639	5.5858	-4.639
2978	2978.0	0.2292	0.00047272	26988.0	70.0	-1.39	0.9	0.6726	-0.3607	-0.9364	1.3162	0.8991	-4.5503	5.6841	-4.5503
2979	2979.0	0.2396	0.00047501	9268.0	34.0	-1.86	0.29	0.738	-0.6558	-1.2801	0.8278	0.4126	-5.0104	5.1746	-5.0104
2980	2980.0	0.25	0.00047518	1774.0	24.0	-1.9	0.26	0.7425	-0.5156	-1.1584	0.7917	0.3767	-5.0444	5.137	-5.0444
2981	2981.0	0.2604	0.00047462	62177.0	131.0	-1.78	0.38	0.6969	-0.2499	-0.8785	0.9106	0.4951	-4.9324	5.2611	-4.9324
2982	2982.0	0.2708	0.00047115	79744.0	184.0	-1.06	0.9	0.4829	0.5497	-0.0641	1.6538	1.2353	-4.2322	6.0363	-4.2322
2983	2983.0	0.2812	0.00047	17762.0	38.0	-0.91	1.15	0.4316	0.7362	0.2491	1.9026	1.483	-3.9979	6.2957	-3.9979
2984	2984.0	0.2917	0.00046949	49943.0	109.0	-0.8	1.26	0.4091	0.6765	0.4092	2.0132	1.5932	-3.8936	6.4112	-3.8936
2985	2985.0	0.3021	0.000472	52291.0	75.0	-1.34	0.72	0.5451	0.1104	-0.0626	1.4708	1.053	-4.4047	5.8453	-4.4047
2986	2986.0	0.3125	0.00047213	85030.0	91.0	-1.37	0.69	0.5514	0.0672	-0.0313	1.4428	1.0251	-4.431	5.8162	-4.431
2987	2987.0	0.3229	0.00047305	18724.0	67.0	-1.6	0.0	0.597	-0.1792	-0.1616	1.2455	0.8287	-4.6168	5.6104	-4.6168
2988	2988.0	0.3333	0.00046968	17501.0	83.0	-0.99	0.22	0.4161	0.3907	0.5645	1.972	1.5521	-3.9325	6.3682	-3.9325
2989	2989.0	0.3438	0.00046934	5387.0	27.0	-0.92	0.29	0.4018	0.3228	0.6464	2.0459	1.6257	-3.8629	6.4452	-3.8629
2990	2990.0	0.3542	0.0004681	13799.0	46.0	-0.66	0.56	0.3504	0.5071	0.8541	2.3162	1.8949	-3.6082	6.7272	-3.6082
2991	2991.0	0.3646	0.00046985	3918.0	23.0	-1.03	0.18	0.4634	0.1288	0.3935	1.9351	1.5154	-3.9672	6.3297	-3.9672
2992	2992.0	0.375	0.00047063	53049.0	105.0	-1.19	0.02	0.5078	-0.0069	0.1912	1.7661	1.3471	-4.1264	6.1535	-4.1264
2993	2993.0	0.3854	0.00046848	10327.0	36.0	-0.74	0.31	0.4009	0.3581	0.5907	2.2332	1.8122	-3.6864	6.6406	-3.6864
2994	2994.0	0.3958	0.0004673	12101.0	29.0	-0.49	0.56	0.3533	0.4823	0.7347	2.4913	2.0693	-3.4432	6.9099	-3.4432
2995	2995.0	0.4062	0.00046852	22020.0	51.0	-0.75	0.44	0.4344	0.0998	0.3776	2.2245	1.8036	-3.6946	6.6315	-3.6946
2996	2996.0	0.4167	0.00046775	20652.0	103.0	-0.58	0.61	0.3977	0.213	0.445	2.3927	1.9711	-3.5361	6.8071	-3.5361
2997	2997.0	0.4271	0.0004665	31662.0	61.0	-0.32	0.88	0.3428	0.4054	0.6477	2.6671	2.2444	-3.2776	7.0932	-3.2776
2998	2998.0	0.4375	0.00046772	3784.0	19.0	-0.39	0.61	0.432	0.1334	0.3526	2.3993	1.9777	-3.5299	6.8139	-3.5299
2999	2999.0	0.4479	0.00046772	21789.0	41.0	-0.16	0.61	0.432	0.0764	0.3274	2.3993	1.9777	-3.5299	6.8139	-3.5299
3000	3000.0	0.4583	0.00046736	6566.0	28.0	-0.31	0.69	0.4097	0.0661	0.3385	2.4782	2.0562	-3.4556	6.8962	-3.4556
3001	3001.0	0.4688	0.00046838	5415.0	27.0	-0.53	0.47	0.4958	-0.1545	0.0666	2.255	1.834	-3.6658	6.6634	-3.6658
3002	3002.0	0.4792	0.00046751	14700.0	23.0	-1.06	0.66	0.433	0.0369	0.1738	2.4453	2.0235	-3.4866	6.8619	-3.4866
3003	3003.0	0.4896	0.00046896	11404.0	37.0	-1.59	0.35	0.5451	-0.2607	-0.1461	2.1285	1.708	-3.785	6.5315	-3.785
3004	3004.0	0.5	0.00046887	23309.0	51.0	-1.88	0.37	0.5374	-0.2117	-0.1337	2.1481	1.7276	-3.7665	6.5519	-3.7665
3005	3005.0	0.5104	0.000469	7128.0	37.0	-1.9	0.23	0.5482	-0.1727	-0.1485	2.1198	1.6994	-3.7932	6.5224	-3.7932
